,_fivetran_id,day,engagement,unique_impressions_count,share_count,share_mentions_count,click_count,like_count,impression_count,comment_count,comment_mentions_count,organization_entity,_fivetran_synced
1431,oTssKHtBE5LVDseD7q8n0vJwxkA=,2022-01-18 00:00:00+00:00,0.0,3,0,,0,0,4,0,,urn:li:organization:78306774,2022-08-08 10:42:30.618000+00:00
1432,llPD+EoCFj/glxfRZ3+ldxLJ2Co=,2022-05-26 00:00:00+00:00,0.05128205128205128,31,0,,2,2,78,0,,urn:li:organization:11841037,2022-08-08 10:42:25.301000+00:00
1433,ZWBSDkebsrtQUKi7xPiGOLB4zYM=,2021-08-12 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.041000+00:00
1434,8n0jUS0bJqzgthmumhUCI1yBzWo=,2021-11-05 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.581000+00:00
1435,dwU9oAL6G7QzVsiAsjcKbweCEDg=,2021-08-11 00:00:00+00:00,0.03680981595092025,40,3,,3,0,163,0,,urn:li:organization:11841037,2022-08-08 10:42:22.701000+00:00
1436,qSX088C0jr7JB06L2crmRMlTGqs=,2021-09-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:29.758000+00:00
1437,KkuFqwPyk8bYEETIVnbpkz/8Edo=,2022-07-23 00:00:00+00:00,0.12,18,0,,3,0,25,0,,urn:li:organization:11841037,2022-08-08 10:42:25.762000+00:00
1438,X+Qj5S+qIPhzv+7G7a1H88DsadY=,2021-10-16 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.337000+00:00
1439,uBee2ICCNKLYTxKTsRJrMbLvanY=,2022-04-12 00:00:00+00:00,0.0,1,0,,0,0,2,0,,urn:li:organization:69569872,2022-08-08 10:42:11.824000+00:00
1440,wnKsncLIt0tG18rrJuC20UgfUWc=,2021-11-10 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:41.765000+00:00
1441,yP3NAg7CoutCOEMTGGDbBTrI4HY=,2022-01-12 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:16.952000+00:00
1442,2aS1FISa4HmMnhOYseoIdZrBB+I=,2022-01-15 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:36.271000+00:00
1443,HorPJMJKQ5o8zzjb3R8CliYKXUA=,2022-03-08 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.390000+00:00
1444,Y5Rm2wtSS7sW5J38DvT4hoTR7nc=,2022-01-22 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:11.166000+00:00
1445,92N5OIjz9TYxM9F4d5pmZhLWQSc=,2022-04-16 00:00:00+00:00,0.3333333333333333,4,0,,2,0,6,0,,urn:li:organization:78306774,2022-08-08 10:42:31.432000+00:00
1446,uke8r+Rvitf8kqLOKu6PDwoRYGU=,2021-11-14 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:35.844000+00:00
1447,hUCXaiRjY9TpzwYzen7yRo3+eM0=,2021-12-13 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:30.395000+00:00
1448,3gnzksQE12IpkTsJp9OlCZif9z8=,2022-06-29 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organizationBrand:69569872,2022-08-08 10:42:43.440000+00:00
1449,EW0qzW8gXVHfJErxjmOOyeGohJY=,2021-12-28 00:00:00+00:00,0.016129032258064516,35,0,,0,1,62,0,,urn:li:organization:11841037,2022-08-08 10:42:23.799000+00:00
1450,haYpt/EDIdKt1+hOjdPMqF1H1uY=,2022-04-12 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:86734408,2022-08-08 10:42:17.614000+00:00
1451,Rrl0ChbzPaBoIBJsDF+hdeKwuOI=,2021-12-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.935000+00:00
1452,YUl81rsyVyxo1VeIxjw9OqSspJw=,2022-03-24 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:78306774,2022-08-08 10:42:31.206000+00:00
1453,apO8E1SPDeVvn+N/F2QeX1xNpZs=,2021-10-28 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:69569872,2022-08-08 10:42:10.496000+00:00
1454,SPcDM3P17m9xa3loaFpV4W0GWuQ=,2022-07-09 00:00:00+00:00,0.0,0,0,,0,0,0,0,,urn:li:organization:74996377,2022-08-08 10:42:37.519000+00:00
