,_fivetran_id,id,date,email_contacts,follower_count,get_directions_clicks,phone_call_clicks,profile_views,text_message_clicks,website_clicks,impressions,impressions_7_d,impressions_28_d,reach,reach_7_d,reach_28_d,_fivetran_synced
98,ad38mYjwWtXOYPPzYB9xxu0UAS8=,17841413694138154,2022-03-26,0,,0,0,0,0,0,0,1,35,0,1,23,2022-08-08 10:43:26.271000+00:00
99,/bkWQo2AFoDnvlmz0CumsrMObWY=,17841413694138154,2022-04-13,0,,0,0,0,0,0,6,80,193,4,43,113,2022-08-08 10:43:24.419000+00:00
100,R6KfRRErGJcMFHYvUkq3sgTU1ME=,17841413694138154,2022-05-14,0,,0,0,0,0,0,0,73,166,0,30,59,2022-08-08 10:43:22.533000+00:00
101,jtOFh6zkXtXIo8PLtFNLYYLPPCc=,17841413694138154,2022-04-07,0,,0,0,0,0,0,2,64,118,2,54,92,2022-08-08 10:43:26.274000+00:00
102,vEt0RzqSeluVduyGa69/hh9zB5s=,17841413694138154,2022-06-19,0,,0,0,0,0,0,0,3,15,0,2,9,2022-08-08 10:43:20.401000+00:00
103,K9hw+Rd1GFIlrU20cz815K5f9hA=,17841413694138154,2022-03-17,0,,0,0,0,0,0,0,3,46,0,2,25,2022-08-08 10:43:26.268000+00:00
104,Lug6uOSv28mSHEkxTDMXdSYilS4=,17841413694138154,2022-06-06,0,,0,0,0,0,0,1,1,142,1,1,66,2022-08-08 10:43:22.542000+00:00
105,hbO3SNS7DWnnSRvA1ZnzF3tG4cA=,17841413694138154,2022-03-05,0,,0,0,0,0,0,1,20,75,1,16,46,2022-08-08 10:43:28.244000+00:00
106,baaPxh9BAHeBkkGwKN6qI3RlHPA=,17841413694138154,2022-02-20,0,,0,0,0,0,0,2,40,73,1,29,45,2022-08-08 10:43:28.241000+00:00
107,bdRmXGPNnrplmOxL5Ds88by4S3g=,17841413694138154,2022-05-16,0,,0,0,0,0,0,32,62,197,14,28,60,2022-08-08 10:43:22.534000+00:00
108,93ZpuhJKlTnjKq5KQvgUmcZjAZU=,17841413694138154,2022-03-14,0,,0,0,0,0,0,2,11,69,1,3,41,2022-08-08 10:43:26.268000+00:00
109,M/Ymuhiliqr5y5UMZzV4f/KzrhQ=,17841413694138154,2022-06-27,0,,0,0,1,0,0,0,1,6,0,1,5,2022-08-08 10:43:20.404000+00:00
110,F1v4HhTjYcey1e1QJhJ0cXoYvc4=,17841413694138154,2022-06-18,0,,0,0,0,0,0,0,3,15,0,2,9,2022-08-08 10:43:20.400000+00:00
111,jXLHt9wj4GtwEcONEXKCZbBNou0=,17841413694138154,2022-03-15,0,,0,0,0,0,0,0,2,52,0,1,28,2022-08-08 10:43:26.268000+00:00
112,PmZY1Q/yfqSBZgw+ya6w3pClNxw=,17841413694138154,2022-04-08,0,,0,0,0,0,0,1,65,119,1,55,93,2022-08-08 10:43:26.274000+00:00
113,cSFZU0hCZa7A+TagPzwKF1VQvgM=,17841413694138154,2022-05-10,0,,0,0,3,0,0,23,74,167,16,29,61,2022-08-08 10:43:22.531000+00:00
114,2voKn/2ZqOjs43aIqD77KxeJbUo=,17841413694138154,2022-03-16,0,,0,0,0,0,0,1,3,50,1,2,28,2022-08-08 10:43:26.268000+00:00
115,zBdewWOMW3BEnT90wQUZZyWeXaI=,17841413694138154,2022-04-20,0,,0,0,0,0,0,0,3,194,0,3,113,2022-08-08 10:43:24.422000+00:00
116,BI+Kq2q7CXuV744qus67CcmRk3s=,17841413694138154,2022-05-11,0,,0,0,1,0,0,4,78,165,4,31,59,2022-08-08 10:43:22.532000+00:00
117,cGv8T/87Q/YWAVSt5Vt6UlXM6jU=,17841413694138154,2022-04-30,0,,0,0,1,0,0,4,67,190,3,34,89,2022-08-08 10:43:24.425000+00:00
118,cKd6Yy4MHBpNZ3Am+PnDrxwHpGc=,17841413694138154,2022-02-11,0,,0,0,0,0,0,0,4,41,0,3,30,2022-08-08 10:43:28.237000+00:00
119,F6L/dIRFZ6z3dxrmdYPI65L/iw8=,17841413694138154,2022-06-03,0,,0,0,0,0,0,0,7,186,0,2,71,2022-08-08 10:43:22.541000+00:00
120,qyhd258qv5XyY6rfejo/cHlzvoY=,17841413694138154,2022-02-15,0,,0,0,1,0,0,17,34,68,15,27,45,2022-08-08 10:43:28.239000+00:00
121,HgK1GKh8DLxqOUelEVw8F5R6Syo=,17841413694138154,2022-05-12,0,,0,0,0,0,0,2,80,166,2,32,59,2022-08-08 10:43:22.532000+00:00
122,HbRGnXZGweH3HjYE9OVCmoW9K6U=,17841413694138154,2022-04-16,0,,0,0,0,0,0,0,78,192,0,40,111,2022-08-08 10:43:24.420000+00:00
123,eEjPdEkpnEdyO4ttMdT/ak/TAts=,17841413694138154,2022-03-07,0,,0,0,0,0,0,0,20,75,0,16,46,2022-08-08 10:43:28.245000+00:00
124,lft52o/3ADRRPhCTmE6ABp0Pbec=,17841413694138154,2022-02-28,0,,0,0,0,0,0,0,9,58,0,3,36,2022-08-08 10:43:28.243000+00:00
125,yBQHbVQqcfWXIToYqyUiKeYe0N0=,17841413694138154,2022-04-10,0,,0,0,0,0,0,0,30,119,0,29,93,2022-08-08 10:43:24.418000+00:00
126,iPBMMvWkKz+nhy6pacO6IQyzPW0=,17841413694138154,2022-03-21,0,,0,0,1,0,0,0,3,43,0,3,25,2022-08-08 10:43:26.269000+00:00
127,1Kmt3zBU6Aqff15ZL0P4hTpsQPk=,17841413694138154,2022-06-13,0,,0,0,1,0,0,1,1,81,1,1,41,2022-08-08 10:43:20.398000+00:00
128,22fw2zUMZAWeUvIXk/9lMHHmJuw=,17841413694138154,2022-02-26,0,,0,0,0,0,0,0,14,64,0,5,38,2022-08-08 10:43:28.242000+00:00
129,aU1lTAqwSGaAhhZtZC7+a2lmXvI=,17841413694138154,2022-06-30,0,,0,0,2,0,0,101,102,107,1,2,6,2022-08-08 10:43:20.406000+00:00
130,7y++2qvJJCweLh7g2Y47LiPLUnw=,17841413694138154,2022-07-03,0,,0,0,1,0,0,0,101,107,0,1,6,2022-08-08 10:43:20.407000+00:00
131,vIAykX8Rta9o0ZeW8LC6XtsYUrM=,17841413694138154,2022-05-22,0,,0,0,0,0,0,0,100,264,0,45,87,2022-08-08 10:43:22.536000+00:00
132,IfGezpZCyfPFskRHQDlumgFLoyk=,17841413694138154,2022-05-03,0,,0,0,3,0,0,2,55,168,2,27,74,2022-08-08 10:43:24.426000+00:00
133,jOFAiBWQOZkJ9EXmBVgLWZe3HA4=,17841413694138154,2022-04-02,0,,0,0,0,0,0,23,71,86,22,64,71,2022-08-08 10:43:26.272000+00:00
134,w/WyP7zylObfxdsNZrfjU9YOEuw=,17841413694138154,2022-04-18,0,,0,0,0,0,0,1,55,194,1,37,113,2022-08-08 10:43:24.421000+00:00
135,6v8XaVA80eKKRDuLjwhcL9FnUik=,17841413694138154,2022-07-06,0,,0,0,0,0,0,5,107,112,1,3,7,2022-08-08 10:43:20.408000+00:00
136,H790XqhkHdUEZ+oTL08+HKIosJY=,17841413694138154,2022-04-04,0,,0,0,0,0,0,23,63,121,22,53,91,2022-08-08 10:43:26.273000+00:00
137,JEqABiu/K8zrRXhppH7CIEsFlGk=,17841413694138154,2022-07-02,0,,0,0,1,0,0,0,101,107,0,1,6,2022-08-08 10:43:20.406000+00:00
138,Qh/DVIuj910pgExFtVdHY0vwbp4=,17841413694138154,2022-03-12,0,,0,0,0,0,0,0,9,81,0,2,46,2022-08-08 10:43:26.267000+00:00
