,_fivetran_id,id,like_count,comment_count,video_photo_impressions,video_photo_reach,video_photo_saved,video_views,carousel_album_engagement,carousel_album_impressions,carousel_album_reach,carousel_album_saved,carousel_album_video_views,story_impressions,story_reach,reel_reach,reel_saved,video_photo_engagement,story_exits,story_replies,story_taps_back,story_taps_forward,reel_comments,reel_likes,reel_plays,reel_shares,reel_total_interactions,_fivetran_synced
36,+wKYRuEYYWwVvkGTNFY1jeFXjTk=,17894358412419779,8,0,73.0,67.0,3,,,,,,,,,,,11.0,,,,,,,,,,2022-08-08 10:43:18.269000+00:00
37,Kq9b0qXLOOJ952isN8rY/6ehwyY=,18027765325232295,1,0,2.0,2.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:18.267000+00:00
38,Y2YZfc5rGREtX8+zUtprOmTdbiA=,18060463957158708,1,0,0.0,0.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:18.275000+00:00
39,aqcFqB3e4wjmEo9hRBJFfkRui7w=,17906031538660472,1,0,29.0,28.0,0,9.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.796000+00:00
40,2+yTk8S6BET4cJSmQgaT4PkBl+I=,17934335947729137,1,0,39.0,38.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.446000+00:00
41,Bygz4n89ffIvKPZWXDcvmwxBlws=,17888982724501064,2,0,,,0,0.0,2.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:13.508000+00:00
42,mAZUVaFcN7PaIn+tcJitiwE7Uy4=,17922759934630873,2,0,136.0,132.0,0,23.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.803000+00:00
43,n/7B7yAPKKaYVMdsYtydLqYbKQo=,17867052923313739,1,0,65.0,60.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.815000+00:00
44,Ogf661pasFham3PbUne2aALfw8c=,17847328021916327,0,0,1.0,1.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:13.527000+00:00
45,UI6wRIrC0+giifGbwpJKtnt/r8c=,17985064699481073,1,0,25.0,23.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.460000+00:00
46,4h3XfbTQLciIbDR+/thAIrTT75Y=,17973016312528390,2,1,36.0,36.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:04.466000+00:00
47,HlO+Yx4nYuDN5VMaOYsxacnMUUw=,17909123140850525,1,0,15.0,13.0,0,6.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.818000+00:00
48,LHXb176PqxKCiBuVcjypb/+ujPc=,18007634797349630,2,0,71.0,69.0,0,13.0,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.475000+00:00
49,mEio9gQjH2eQ9ixPP4KX+Rkg7k8=,17843990435579782,3,0,33.0,32.0,0,,,,,,,,,,,3.0,,,,,,,,,,2022-08-08 10:43:09.847000+00:00
50,+3zUKcnuS5HqXoiZQgq2oeRNnjg=,17943215416640051,1,0,16.0,16.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.473000+00:00
51,WjdbgJ9Q569cjyGYrV50VBIRIRs=,17853512104875606,1,0,1.0,1.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:13.511000+00:00
52,pTEiI8Usu9EHYvwE8yg1EojvtYA=,17895631022266668,1,0,28.0,28.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.483000+00:00
53,IkyfJlhq2Ek+y/2oUOsnmdVht8I=,18094971940155742,3,1,24.0,24.0,0,,,,,,,,,,,4.0,,,,,,,,,,2022-08-08 10:43:13.524000+00:00
54,1M2/8T6H12C3QSpx1IIiIS8EdpU=,17931780169734211,4,1,66.0,63.0,0,20.0,,,,,,,,,,5.0,,,,,,,,,,2022-08-08 10:43:04.445000+00:00
55,15uiihJSJui2WrbGR1262PFe7fI=,18006318100388515,1,0,25.0,25.0,0,9.0,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.458000+00:00
56,9d+1H3/LF7IHfGMcCsPN7ANOOCw=,17886007798874279,2,0,25.0,24.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:09.843000+00:00
57,qBmdnQAqtYhab451TrVjBZMBO04=,17927388487432878,0,0,27.0,24.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:09.825000+00:00
58,I09U46zAXrDdR6A/pxZGh954014=,17928023810181152,2,0,31.0,31.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:04.477000+00:00
59,Z9tFp1b8hrLbK86NU+VQYQsSyHA=,17883726850818208,1,0,21.0,19.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:09.802000+00:00
60,lKfefuk6PVqvK8UF1JNns32a+68=,17902972844126456,1,0,26.0,26.0,0,,,,,,,,,,,1.0,,,,,,,,,,2022-08-08 10:43:04.454000+00:00
61,mjLnRsX9+8sepYKTNAMmgX5LtG0=,17900833450611754,3,0,,,0,0.0,3.0,46.0,41.0,0.0,0.0,,,,,,,,,,,,,,,2022-08-08 10:43:09.813000+00:00
62,N9NBK+nhChbUeToXEPi+x52qWKk=,17882327180156575,6,0,29.0,28.0,0,11.0,,,,,,,,,,6.0,,,,,,,,,,2022-08-08 10:43:09.808000+00:00
63,ozirfhPw9qltpwZC3pSyp++T+GM=,18122228401045874,2,0,0.0,0.0,0,,,,,,,,,,,2.0,,,,,,,,,,2022-08-08 10:43:18.279000+00:00
64,FVevvcoeicZfOURvkCfIEpaB+Kk=,18130089565139758,0,0,29.0,28.0,0,,,,,,,,,,,0.0,,,,,,,,,,2022-08-08 10:43:09.804000+00:00
